id,title,description,category,phone_code,phone_number,email,avg_review,review_count,image_url
1,Electromaster LCC,"Profesional especializado en la instalación, mantenimiento y reparación de sistemas eléctricos en la finca de arrendatarios. Puede encargarse de resolver problemas eléctricos, instalar nuevas conexiones y asegurar que el sistema eléctrico funcione de manera segura y eficiente.",Electricista,34,904119141,electricidadjuan@example.com,4,126,https://res.cloudinary.com/dlz0pxdtz/image/upload/v1712678014/AppMinistrador/service_providers/electricidad_aoiwnc.jpg
2,Juan Marqués Fontaneros,"Experto en instalación y reparación de sistemas de fontanería. Se encarga de mantener en buen estado las tuberías, grifos, sanitarios y otros elementos relacionados con el suministro y drenaje de agua en la finca.",Fontanería,34,985786758,fontaneriaroberto@example.com,5,97,https://res.cloudinary.com/dlz0pxdtz/image/upload/v1712678028/AppMinistrador/service_providers/plumbing_k1qpso.jpg
3,Flormás Jardinería,"Profesional encargado del diseño, mantenimiento y cuidado de áreas verdes y jardines en la finca. Su trabajo incluye poda, fertilización, riego y control de plagas para mantener los espacios exteriores en óptimas condiciones estéticas y funcionales.",Jardinería y Paisajismo,34,946839233,paisajismomaria@example.com,4.5,81,https://res.cloudinary.com/dlz0pxdtz/image/upload/v1712678027/AppMinistrador/service_providers/plant_owcmg9.jpg
4,Mister Limpieza Co. ,"Empresa o equipo especializado en la limpieza y mantenimiento de espacios interiores y exteriores de la finca. Puede ofrecer servicios de limpieza regular, limpieza profunda, eliminación de residuos y gestión de la higiene en áreas comunes.",Limpieza,34,947438292,limpiezaprofesional@example.com,3,54,https://res.cloudinary.com/dlz0pxdtz/image/upload/v1712678013/AppMinistrador/service_providers/cleaning_cjyoej.jpg
5,PoolClean Service,"Profesionales dedicados al mantenimiento y limpieza de piscinas en la finca. Su labor incluye el equilibrio químico del agua, limpieza de filtros, reparación de equipos y aseguramiento de la seguridad en el área de la piscina.",Mantenimiento de Piscinas,34,947444822,piscinasclean@example.com,4,49,https://res.cloudinary.com/dlz0pxdtz/image/upload/v1712678029/AppMinistrador/service_providers/pool-cleaning_g397yt.jpg
6,Galp S.A,"Suministra gas licuado de petróleo (GLP) para uso doméstico o comercial en la finca de arrendatarios. Se encarga de la instalación, mantenimiento y reposición de los tanques de gas, así como de asegurar un suministro continuo y seguro de este combustible.",Gas,34,935648302,gasfiable@example.com,3,91,https://res.cloudinary.com/dlz0pxdtz/image/upload/v1712678565/AppMinistrador/service_providers/gas-1_i1sutw.jpg
7,Save&Sound Security,"Empresa especializada en brindar seguridad física y patrullaje en la finca de arrendatarios. Puede ofrecer vigilancia las 24 horas del día, control de acceso, monitoreo de cámaras de seguridad y respuesta rápida ante situaciones de emergencia o intrusión.",Seguridad,34,927657493,seguridadtotal@example.com,5,86,https://res.cloudinary.com/dlz0pxdtz/image/upload/v1712678032/AppMinistrador/service_providers/security_egk7dg.jpg
8,Nomasplagas S.L,"Profesionales encargados de identificar, prevenir y controlar infestaciones de plagas como insectos, roedores y otros organismos no deseados en la finca. Utilizan métodos seguros y efectivos para proteger las instalaciones y la salud de los arrendatarios.",Control de Plagas,34,968374392,controlplagas@example.com,4.5,37,https://res.cloudinary.com/dlz0pxdtz/image/upload/v1712678026/AppMinistrador/service_providers/pest-control_sebqru.jpg
9,Conexiones Telenet,"Empresa que ofrece servicios de conexión a internet, telefonía fija y móvil en la finca de arrendatarios. Puede proporcionar planes de internet de alta velocidad, líneas telefónicas y paquetes de televisión por cable o satélite según las necesidades de los residentes.",Internet y Telecomunicaciones,34,928265658,internetrapido@example.com,3.5,28,https://res.cloudinary.com/dlz0pxdtz/image/upload/v1712678019/AppMinistrador/service_providers/internet-robots-2_f3qapl.jpg
10,FontanerosMartinez S.L,"Profesionales especializados en la instalación, mantenimiento y reparación de sistemas de fontanería en la finca. Se encargan de resolver problemas de fugas, atascos y mal funcionamiento en las tuberías de agua potable y desagüe.",Fontanería,34,927465645,fontaneroexpress@example.com,4,74,https://res.cloudinary.com/dlz0pxdtz/image/upload/v1712678566/AppMinistrador/service_providers/plumbing-2_kktth1.jpg
